ID,Gender,Ever_Married,Age,Graduated,Profession,Family_Size,Car Purchased,Country Of Origin,Year Of Purchase,Salary,Fuel Type,Language Spoken 
1159,Female,No,29,Yes,Healthcare,1,Rover,USA,2011,15000,Diesel,English 
1160,Male,No,19,No,Healthcare,4,Saab,UK,2012,60000,Diesel,English 
1161,Female,No,45,Yes,Engineer,1,SEAT,USA,2013,15000,Diesel,English 
1162,Female,Yes,61,No,Artist,2,SKODA,Poland,2014,30000,Diesel,English 
1163,Female,Yes,36,Yes,Artist,2,Smart,Spain,2015,30000,Diesel,Spanish
1164,Male,Yes,40,Yes,Artist,1,Ssangyong,Switzerland,2016,15000,Diesel,German
1165,Female,Yes,57,Yes,Entertainment,2,Subaru,Germany ,2010,30000,Diesel,Russian 
1166,Male,Yes,76,No,Marketing,1,Suzuki,Germany ,2011,15000,Diesel,Russian 
1167,Male,Yes,32,Yes,Artist,2,Tesla,USA,2012,30000,Electric,English 
1168,Male,No,25,Yes,Healthcare,4,Toyota,Bulgaria,2013,60000,Diesel,Bulgarian
1169,Male,No,32,,Doctor,2,TVR,Italy,2014,30000,Diesel,Italian
1170,Female,Yes,45,Yes,Artist,3,Vauxhall,Sri Lanka,2015,45000,Diesel,Tamil
1171,Male,Yes,72,Yes,Lawyer,,Volkswagen,Germany ,2016,25000,Diesel,Russian 
1172,Male,Yes,48,Yes,Artist,2,Volvo,USA,2012,30000,Diesel,English 
1173,Male,Yes,55,Yes,Artist,2,Maker,Bulgaria,2013,30000,Diesel,English 
1174,Male,Yes,74,Yes,Lawyer,3,Lexus,Italy,2014,45000,Diesel,Italian
1175,Male,Yes,56,Yes,Lawyer,2,Alfa Romeo,Sri Lanka,2015,30000,Diesel,Tamil
1176,Male,Yes,59,Yes,Lawyer,2,Aston Martin,USA,2016,30000,Diesel,English 
1177,Male,No,25,Yes,Entertainment,2,Audi,Poland,2017,30000,Diesel,English 
1178,Male,Yes,31,Yes,Doctor,2,Bentley,Spain,2018,30000,Diesel,Spanish
1179,Male,No,27,No,Artist,4,BMW,Switzerland,2016,60000,Diesel,German
1180,Male,Yes,57,Yes,Artist,4,Cadillac,Germany ,2017,60000,Diesel,Russian 
1181,Female,Yes,39,Yes,Homemaker,2,Chevrolet,Germany ,2018,30000,Diesel,Russian 
1182,Male,Yes,27,Yes,Healthcare,2,Chrysler,USA,2008,30000,Diesel,English 
1183,Female,Yes,51,Yes,Entertainment,2,Citroen,Bulgaria,2009,30000,Diesel,Bulgarian
1184,Female,Yes,47,No,Artist,5,Corvette,Italy,2010,75000,Diesel,English 
1185,Female,No,33,No,Healthcare,4,Hyundai,Sri Lanka,2011,60000,Diesel,Tamil
1186,Male,Yes,56,Yes,Artist,4,Daewoo,Germany ,2010,60000,Diesel,Russian 
1187,Female,No,33,No,Homemaker,3,Daihatsu,USA,2011,45000,Diesel,English 
1188,Female,No,36,Yes,Doctor,2,Dodge,Bulgaria,2012,30000,Diesel,English 
1189,Male,Yes,51,No,Artist,3,Kia,Italy,2013,45000,Diesel,English 
1190,Male,Yes,45,Yes,Engineer,2,Ferrari,Sri Lanka,2020,30000,Hybrid,Tamil
1191,Female,No,49,Yes,,1,Fiat,USA,2021,15000,Diesel,English 
1192,Male,No,30,No,Healthcare,4,Ford,USA,2020,60000,Electric,English 
1193,Female,No,26,No,Healthcare,3,Honda,USA,2021,45000,Hybrid ,English 
1194,Male,Yes,63,Yes,Artist,1,Honda,USA,2016,15000,Diesel,English 
1195,Male,Yes,35,No,Entertainment,4,Hyundai,USA,2017,60000,Diesel,English 
1196,Female,No,19,No,Marketing,3,Infiniti,USA,2018,45000,Diesel,English 
1197,Male,No,32,No,Healthcare,5,Isuzu,USA,2019,75000,Diesel,English 
1198,Male,Yes,52,Yes,Artist,3,Jaguar,USA,2009,45000,Diesel,English 
1199,Female,Yes,36,Yes,Artist,2,Jeep,USA,2010,30000,Diesel,English 
1200,Female,No,42,No,Entertainment,3,Kia,USA,2011,45000,Diesel,English 
1201,Male,Yes,40,No,Doctor,2,Lamborghini,USA,2012,30000,Diesel,English 
1202,Male,No,39,Yes,Entertainment,3,Land Rover,USA,2013,45000,Diesel,English 
1203,Female,Yes,47,Yes,Artist,4,Lexus,USA,2014,60000,Diesel,English 
1204,Female,Yes,61,Yes,Artist,2,Lotus,USA,2015,30000,Diesel,English 
1205,Male,Yes,32,No,Entertainment,2,Maserati,USA,2016,30000,Diesel,English 
1206,Male,Yes,55,No,Artist,1,Maybach,USA,2010,15000,Diesel,English 
1207,Male,Yes,58,Yes,Artist,1,Mazda,USA,2011,15000,Diesel,English 
1208,Female,No,38,Yes,Artist,1,McLaren,USA,2012,15000,Diesel,English 
1209,Male,Yes,63,Yes,Artist,2,Mercedes-Benz,USA,2013,30000,Diesel,English 
1210,Male,Yes,58,Yes,Doctor,2,MG,USA,2014,30000,Diesel,English 
1211,Male,Yes,30,No,Engineer,3,MINI,USA,2015,45000,Diesel,English 
1212,Male,Yes,60,Yes,Artist,4,Mitsubishi,USA,2016,60000,Diesel,English 
1213,Male,Yes,68,No,Executive,7,Nissan,USA,2012,105000,Diesel,English 
1214,Male,Yes,52,No,Artist,3,Nissan,Canada,2013,45000,Diesel,French 
1215,Male,Yes,38,No,Executive,5,Peugeot,Canada,2014,75000,Diesel,French 
1216,Female,Yes,35,Yes,Healthcare,2,Porsche,Canada,2015,30000,Diesel,French 
1217,Male,No,18,No,Doctor,2,Proton,Canada,2016,30000,Diesel,French 
1218,Male,Yes,30,Yes,Homemaker,2,Renault,Canada,2017,30000,Diesel,French 
1219,Male,No,86,No,Lawyer,1,Rolls-Royce,Canada,2018,15000,Diesel,French 
1220,Female,,19,No,Healthcare,5,Rover,Canada,2016,75000,Diesel,French 
1221,Male,No,25,No,Healthcare,3,Saab,Canada,2017,45000,Diesel,French 
1222,Male,Yes,59,Yes,Entertainment,4,SEAT,Canada,2018,60000,Diesel,French 
1223,Female,No,39,Yes,Artist,1,SKODA,Canada,2008,15000,Diesel,French 
1224,Female,Yes,50,Yes,Doctor,,Smart,Canada,2009,25000,Diesel,French 
1225,Male,No,47,Yes,Artist,1,Ssangyong,Canada,2010,15000,Diesel,French 
1226,Male,Yes,43,Yes,Executive,3,Subaru,Canada,2011,45000,Diesel,French 
1227,Male,Yes,36,No,Executive,4,Suzuki,Canada,2010,60000,Diesel,French 
1228,Male,Yes,80,No,Lawyer,1,Tesla,UK,2011,15000,Electric,English 
1229,Male,No,36,Yes,Artist,2,Toyota,Canada,2012,30000,Diesel,French 
1230,Male,No,27,No,,7,TVR,UK,2013,105000,Diesel,English 
1231,Female,Yes,37,Yes,Artist,2,Vauxhall,Canada,2020,30000,Electric,French 
1232,Male,Yes,46,Yes,Executive,3,Volkswagen,UK,2021,45000,Petrol ,English 
1233,Male,Yes,55,No,Executive,4,Volvo,Canada,2020,60000,Petrol ,French 
1234,Female,Yes,47,No,Engineer,4,Maker,UK,2021,60000,Diesel,English 
1235,Female,No,28,Yes,Healthcare,3,Lexus,Canada,2016,45000,Electric,French 
1236,Male,Yes,39,No,Entertainment,2,Alfa Romeo,UK,2017,30000,Hybrid,English 
1237,Female,Yes,27,No,Marketing,2,Aston Martin,Canada,2018,30000,Hybrid,French 
1238,Female,Yes,42,No,Engineer,,Audi,UK,2019,25000,Diesel,English 
1239,Male,Yes,72,Yes,Artist,2,Bentley,Canada,2009,30000,Electric,French 
1240,Female,Yes,28,Yes,Engineer,2,BMW,UK,2010,30000,Hybrid ,English 
1241,Male,No,35,Yes,Entertainment,5,Cadillac,Canada,2011,75000,Electric,French 
1242,Male,Yes,39,Yes,Executive,5,Chevrolet,UK,2012,75000,Petrol ,English 
1243,Female,Yes,69,Yes,Lawyer,2,Chrysler,Canada,2013,30000,Diesel,French 
1244,Male,No,18,No,Healthcare,4,Citroen,UK,2014,60000,Diesel,English 
1245,Male,Yes,46,Yes,Artist,1,Corvette,Canada,2015,15000,Diesel,French 
1246,Female,Yes,50,Yes,Engineer,2,Hyundai,UK,2016,30000,Diesel,English 
1247,Male,No,30,No,Executive,5,Daewoo,Canada,2010,75000,Diesel,French 
1248,Female,No,41,No,Artist,2,Daihatsu,UK,2011,30000,Diesel,English 
1249,Female,No,39,Yes,Artist,4,Dodge,Canada,2012,60000,Diesel,French 
1250,Female,No,29,No,Marketing,4,Kia,UK,2013,60000,Diesel,English 
1251,Female,Yes,37,Yes,Artist,4,Ferrari,Canada,2014,60000,Diesel,English 
1252,Female,Yes,39,Yes,Engineer,2,Fiat,UK,2015,30000,Diesel,English 
1253,Female,Yes,48,Yes,Artist,5,Ford,Canada,2016,75000,Diesel,English 
1254,Female,No,32,Yes,Doctor,3,Honda,UK,2012,45000,Diesel,English 
1255,Male,Yes,78,No,Lawyer,,Honda,Canada,2013,25000,Diesel,English 
1256,Female,Yes,43,No,Engineer,5,Hyundai,UK,2014,75000,Diesel,English 
1257,Male,No,29,No,Marketing,5,Infiniti,Canada,2015,75000,Diesel,English 
1258,Female,Yes,28,No,Engineer,2,Isuzu,UK,2016,30000,Diesel,English 
1259,Male,Yes,80,Yes,Lawyer,1,Jaguar,Canada,2017,15000,Diesel,English 
1260,Female,No,28,Yes,Healthcare,4,Jeep,UK,2018,60000,Diesel,English 
1261,Male,Yes,71,Yes,Artist,3,Kia,Canada,2016,45000,Diesel,English 
1262,Male,Yes,67,No,Lawyer,9,Lamborghini,UK,2017,135000,Diesel,English 
1263,Female,No,26,No,Engineer,1,Land Rover,Canada,2018,15000,Diesel,English 
1264,Female,Yes,47,Yes,Engineer,2,Lexus,UK,2008,30000,Diesel,English 
1265,Female,Yes,43,Yes,Artist,2,Lotus,Canada,2009,30000,Diesel,English 
1266,Female,No,27,Yes,Healthcare,4,Maserati,UK,2010,60000,Diesel,English 
1267,Female,Yes,45,Yes,Marketing,4,Maybach,Canada,2011,60000,Diesel,English 
1268,Male,Yes,76,No,Executive,1,Mazda,UK,2010,15000,Diesel,English 
1269,Female,Yes,43,Yes,Artist,4,McLaren,Canada,2011,60000,Diesel,English 
1270,Female,Yes,78,Yes,Lawyer,2,Mercedes-Benz,UK,2012,30000,Diesel,English 
1271,Male,Yes,35,Yes,Artist,3,MG,Canada,2013,45000,Diesel,English 
1272,Female,No,49,Yes,Artist,1,MINI,UK,2020,15000,Petrol ,English 
1273,Female,No,25,Yes,Healthcare,5,Mitsubishi,Canada,2021,75000,Diesel,English 
1274,Male,Yes,37,No,Executive,5,Nissan,UK,2020,75000,Electric,English 
1275,Female,No,32,No,Healthcare,5,Nissan,Canada,2021,75000,Hybrid,English 
1276,Male,Yes,60,Yes,Doctor,2,Peugeot,UK,2016,30000,Hybrid,Welsh
1277,Female,Yes,45,Yes,Artist,3,Porsche,Canada,2017,45000,Diesel,English 
1278,Female,Yes,49,Yes,Homemaker,3,Proton,UK,2018,45000,Electric,Welsh
1279,Male,No,32,Yes,Artist,5,Renault,Canada,2019,75000,Hybrid ,English 
1280,Female,Yes,40,Yes,Artist,3,Rolls-Royce,UK,2009,45000,Electric,Welsh
1281,Male,Yes,59,No,Artist,2,Rover,Canada,2010,30000,Petrol ,English 
1282,Male,Yes,48,Yes,Artist,5,Saab,UK,2011,75000,Diesel,Welsh
1283,Male,Yes,82,Yes,Executive,2,SEAT,Canada,2012,30000,Diesel,English 
1284,Female,Yes,70,Yes,Lawyer,2,SKODA,UK,2013,30000,Diesel,Welsh
1285,Male,No,31,Yes,Artist,2,Smart,Canada,2014,30000,Diesel,English 
1286,Female,Yes,72,Yes,Lawyer,2,Ssangyong,UK,2015,30000,Diesel,Welsh
1287,Male,Yes,50,Yes,Artist,4,Subaru,Canada,2016,60000,Diesel,English 
1288,Female,No,23,No,Engineer,1,Suzuki,UK,2010,15000,Diesel,Welsh
1289,Female,No,20,No,Healthcare,6,Tesla,Canada,2011,90000,Electric,English 
1290,Female,No,22,No,Healthcare,3,Toyota,UK,2012,45000,Diesel,Welsh
1291,Female,No,31,Yes,Engineer,1,TVR,Canada,2013,15000,Diesel,English 
1292,Female,Yes,36,Yes,Artist,2,Vauxhall,UK,2014,30000,Diesel,Welsh
1293,Male,Yes,52,No,Entertainment,5,Volkswagen,Canada,2015,75000,Diesel,English 
1294,Female,No,29,Yes,Artist,1,Volvo,UK,2016,15000,Diesel,Welsh
1295,Male,Yes,40,Yes,Artist,4,Maker,Canada,2012,60000,Diesel,English 
1296,Female,No,40,Yes,Artist,1,Lexus,UK,2013,15000,Diesel,Welsh
1297,Male,Yes,38,Yes,Artist,2,Alfa Romeo,Canada,2014,30000,Diesel,English 
1298,Female,Yes,85,No,Lawyer,,Aston Martin,UK,2015,25000,Diesel,Welsh
1299,Female,No,21,No,Doctor,3,Audi,Canada,2016,45000,Diesel,English 
1300,Female,Yes,41,No,Engineer,2,Bentley,UK,2017,30000,Diesel,Welsh
1301,Male,Yes,40,Yes,Artist,2,BMW,Canada,2018,30000,Diesel,English 
1302,Male,Yes,53,Yes,Artist,3,Cadillac,UK,2016,45000,Diesel,Welsh
1303,Female,Yes,42,Yes,Artist,2,Chevrolet,Canada,2017,30000,Diesel,English 
1304,Male,Yes,42,No,Executive,2,Chrysler,UK,2018,30000,Diesel,Welsh
1305,Male,Yes,48,Yes,Artist,4,Citroen,Canada,2008,60000,Diesel,English 
1306,Male,Yes,59,Yes,Artist,2,Corvette,UK,2009,30000,Diesel,Welsh
1307,Male,Yes,41,Yes,Executive,3,Hyundai,Canada,2010,45000,Diesel,English 
1308,Female,Yes,31,Yes,Artist,2,Daewoo,UK,2011,30000,Diesel,Welsh
1309,Female,Yes,49,Yes,Artist,5,Daihatsu,Canada,2010,75000,Diesel,English 
1310,Male,Yes,67,Yes,Executive,2,Dodge,UK,2011,30000,Diesel,Welsh
1311,Male,Yes,35,No,Artist,2,Kia,Canada,2012,30000,Diesel,English 
1312,Female,No,26,Yes,Healthcare,3,Ferrari,UK,2013,45000,Diesel,Welsh
1313,Male,,19,No,Healthcare,3,Fiat,Canada,2020,45000,Petrol ,English 
1314,Female,Yes,25,No,Engineer,8,Ford,UK,2021,120000,Diesel,Welsh
1315,Female,Yes,39,Yes,Healthcare,2,Honda,Canada,2020,30000,Electric,English 
1316,Male,Yes,63,Yes,Entertainment,2,Honda,UK,2021,30000,Hybrid,Welsh
1317,Male,No,23,No,Healthcare,3,Hyundai,Canada,2016,45000,Hybrid,English 
1318,Female,No,23,No,Healthcare,3,Infiniti,UK,2017,45000,Diesel,Welsh
1319,Female,Yes,53,Yes,Artist,1,Isuzu,Canada,2018,15000,Electric,English 
1320,Male,No,33,Yes,Doctor,2,Jaguar,UK,2019,30000,Hybrid ,Welsh
1321,Female,Yes,50,No,Engineer,4,Jeep,Canada,2009,60000,Electric,English 
1322,Female,Yes,69,Yes,Engineer,2,Kia,UK,2010,30000,Petrol ,Welsh
1323,Male,No,37,Yes,Artist,1,Lamborghini,USA,2011,15000,Petrol ,English 
1324,Female,No,20,No,Marketing,4,Land Rover,Germany ,2012,60000,Diesel,Russian 
1325,Female,,85,No,Lawyer,1,Lexus,USA,2013,15000,Petrol ,English 
1326,Female,Yes,49,Yes,Doctor,4,Lotus,Germany ,2014,60000,Diesel,Russian 
1327,Male,No,18,No,Healthcare,3,Maserati,USA,2015,45000,Electric,English 
1328,Female,Yes,52,Yes,Doctor,2,Maybach,Germany ,2016,30000,Hybrid,Russian 
1329,Male,Yes,25,No,Doctor,2,Mazda,USA,2010,30000,Diesel,English 
1330,Male,Yes,56,No,Executive,2,McLaren,Germany ,2011,30000,Diesel,Russian 
1331,Male,No,62,Yes,,1,Mercedes-Benz,USA,2012,15000,Diesel,English 
1332,Female,No,35,,Artist,3,MG,Germany ,2013,45000,Diesel,Russian 
1333,Male,Yes,28,Yes,Engineer,2,MINI,USA,2014,30000,Diesel,English 
1334,Female,No,28,Yes,Artist,3,Mitsubishi,Germany ,2015,45000,Diesel,Russian 
1335,Male,No,20,No,Healthcare,5,Nissan,USA,2016,75000,Diesel,English 
1336,Female,No,27,No,Homemaker,1,Nissan,Mexico,2012,15000,Diesel,English 
1337,Female,No,56,No,Engineer,1,Peugeot,Malaysia,2013,15000,Diesel,English 
1338,Male,Yes,45,Yes,Artist,4,Porsche,Japan,2014,60000,Diesel,Japanese
1339,Male,No,25,Yes,Healthcare,4,Proton,Canada,2015,60000,Diesel,English 
1340,Male,No,40,No,Marketing,1,Renault,China ,2016,15000,Diesel,Mandarin
1341,Female,Yes,25,Yes,Healthcare,2,Rolls-Royce,India,2017,30000,Diesel,Tamil
1342,Female,Yes,74,No,Lawyer,2,Rover,Italy,2018,30000,Diesel,English 
1343,Female,No,23,No,Healthcare,4,Saab,China ,2016,60000,Diesel,Mandarin
1344,Female,Yes,67,Yes,Lawyer,2,SEAT,France,2017,30000,Diesel,French 
1345,Male,No,21,No,Healthcare,4,SKODA,Italy,2018,60000,Diesel,English 
1346,Female,No,38,Yes,Artist,1,Smart,France,2008,15000,Diesel,French 
1347,Male,No,28,No,Healthcare,4,Ssangyong,UK,2009,60000,Diesel,Welsh
1348,Female,No,32,No,Healthcare,5,Subaru,UK,2010,75000,Diesel,Welsh
1349,Female,No,33,Yes,,4,Suzuki,USA,2011,60000,Diesel,English 
1350,Female,Yes,56,No,Lawyer,4,Tesla,Germany ,2010,60000,Electric,Russian 
1351,Female,Yes,53,Yes,Artist,2,Toyota,USA,2011,30000,Diesel,English 
1352,Male,Yes,57,No,Executive,5,TVR,Germany ,2012,75000,Diesel,Russian 
1353,Female,Yes,59,Yes,Artist,3,Vauxhall,USA,2013,45000,Diesel,English 
1354,Female,Yes,25,Yes,Healthcare,4,Volkswagen,Germany ,2020,60000,Petrol ,Russian 
1355,Male,Yes,59,Yes,Artist,6,Volvo,USA,2021,90000,Diesel,English 
1356,Female,Yes,36,Yes,Artist,4,Maker,Germany ,2020,60000,Electric,Russian 
1357,Male,Yes,37,Yes,Entertainment,2,Lexus,USA,2021,30000,Hybrid,English 
1358,Male,No,22,No,Doctor,3,Alfa Romeo,Germany ,2016,45000,Hybrid,Russian 
1359,Male,Yes,43,Yes,Artist,2,Aston Martin,USA,2017,30000,Diesel,English 
1360,Male,Yes,41,Yes,Artist,2,Audi,Germany ,2018,30000,Electric,Russian 
1361,Female,No,21,No,Engineer,5,Bentley,USA,2019,75000,Hybrid ,English 
1362,Female,No,49,No,Engineer,,BMW,Mexico,2009,25000,Electric,English 
1363,Male,No,38,Yes,Doctor,1,Cadillac,Malaysia,2010,15000,Petrol ,English 
1364,Male,Yes,47,No,Artist,4,Chevrolet,Japan,2011,60000,Petrol ,Japanese
1365,Male,Yes,70,Yes,Lawyer,3,Chrysler,Canada,2012,45000,Diesel,English 
1366,Female,No,31,No,Engineer,4,Citroen,China ,2013,60000,Petrol ,Mandarin
1367,Female,Yes,82,No,Lawyer,2,Corvette,India,2014,30000,Diesel,Malalayam
1368,Female,Yes,51,No,Executive,1,Hyundai,Italy,2015,15000,Electric,English 
1369,Female,No,42,No,Homemaker,,Daewoo,China ,2016,25000,Hybrid,Mandarin
1370,Male,No,38,Yes,Artist,3,Daihatsu,France,2010,45000,Diesel,French 
1371,Male,Yes,18,No,Executive,4,Dodge,Italy,2011,60000,Diesel,English 
1372,Male,Yes,50,Yes,Artist,3,Kia,France,2012,45000,Diesel,French 
1373,Female,No,46,Yes,Doctor,,Ferrari,UK,2013,25000,Diesel,Welsh
1374,Female,Yes,72,No,Lawyer,3,Fiat,UK,2014,45000,Diesel,Welsh
1375,Female,No,33,No,Engineer,4,Ford,USA,2015,60000,Diesel,English 
1376,Female,No,25,No,Homemaker,7,Honda,Germany ,2016,105000,Diesel,Russian 
1377,Female,Yes,75,No,Entertainment,2,Honda,USA,2012,30000,Diesel,English 
1378,Male,No,72,Yes,Artist,1,Hyundai,Germany ,2013,15000,Diesel,Russian 
1379,Female,Yes,72,Yes,Artist,3,Infiniti,USA,2014,45000,Diesel,English 
1380,Male,Yes,36,Yes,Entertainment,6,Isuzu,Germany ,2015,90000,Diesel,Russian 
1381,Male,Yes,40,Yes,Artist,2,Jaguar,USA,2016,30000,Diesel,English 
1382,Female,No,28,Yes,Entertainment,4,Jeep,Germany ,2017,60000,Diesel,Russian 
1383,Female,No,28,Yes,Doctor,3,Kia,USA,2018,45000,Diesel,English 
1384,Male,,19,No,Entertainment,3,Lamborghini,Germany ,2016,45000,Diesel,Russian 
1385,Male,Yes,43,Yes,Artist,2,Land Rover,USA,2017,30000,Diesel,English 
1386,Female,Yes,35,Yes,Artist,2,Lexus,Germany ,2018,30000,Diesel,Russian 
1387,Male,Yes,65,Yes,Lawyer,2,Lotus,USA,2008,30000,Diesel,English 
1388,Male,Yes,52,Yes,Executive,4,Maserati,Mexico,2009,60000,Diesel,English 
1389,Female,No,40,Yes,Artist,1,Maybach,Malaysia,2010,15000,Diesel,English 
1390,Female,Yes,69,No,Engineer,3,Mazda,Japan,2011,45000,Diesel,Japanese
1391,Female,No,22,No,Healthcare,3,McLaren,Canada,2010,45000,Diesel,English 
1392,Male,Yes,47,Yes,Executive,4,Mercedes-Benz,China ,2011,60000,Diesel,Mandarin
1393,Male,Yes,29,Yes,Marketing,2,MG,India,2012,30000,Diesel,Gujrati
1394,Male,Yes,46,Yes,Artist,3,MINI,Italy,2013,45000,Diesel,English 
1395,Male,No,32,Yes,Artist,2,Mitsubishi,China ,2020,30000,Petrol ,Mandarin
1396,Female,No,38,Yes,Healthcare,1,Nissan,France,2021,15000,Diesel,French 
1397,Male,Yes,59,Yes,Artist,1,Nissan,Italy,2020,15000,Electric,English 
1398,Female,No,26,Yes,Entertainment,1,Peugeot,France,2021,15000,Hybrid,French 
1399,Male,No,26,Yes,Healthcare,2,Porsche,UK,2016,30000,Hybrid,Welsh
1400,Male,No,28,No,Marketing,1,Proton,UK,2017,15000,Diesel,Welsh
1401,Female,Yes,53,Yes,Engineer,3,Renault,USA,2018,45000,Electric,English 
1402,Female,No,43,,Entertainment,1,Rolls-Royce,Germany ,2019,15000,Hybrid ,Russian 
1403,Male,No,27,No,Doctor,3,Rover,USA,2009,45000,Electric,English 
1404,Female,No,32,No,Artist,8,Saab,Germany ,2010,120000,Petrol ,Russian 
1405,Male,No,26,No,Engineer,4,SEAT,USA,2011,60000,Petrol ,English 
1406,Female,No,31,No,Entertainment,2,SKODA,Germany ,2012,30000,Diesel,Russian 
1407,Male,Yes,39,Yes,Executive,3,Smart,USA,2013,45000,Petrol ,English 
1408,Female,Yes,43,No,Engineer,3,Ssangyong,Germany ,2014,45000,Diesel,Russian 
1409,Male,Yes,25,No,Doctor,2,Subaru,USA,2015,30000,Electric,English 
1410,Male,Yes,40,Yes,Artist,3,Suzuki,Germany ,2016,45000,Hybrid,German
1411,Female,Yes,40,Yes,Entertainment,2,Tesla,USA,2010,30000,Electric,English 
1412,Male,Yes,63,Yes,Entertainment,3,Toyota,Germany ,2011,45000,Diesel,German
1413,Female,Yes,27,Yes,Healthcare,2,TVR,USA,2012,30000,Diesel,English 
1414,Male,No,27,Yes,Healthcare,3,Vauxhall,Mexico,2013,45000,Diesel,English 
1415,Female,No,19,No,Healthcare,2,Volkswagen,Malaysia,2014,30000,Diesel,English 
1416,Female,Yes,86,Yes,Lawyer,2,Volvo,Japan,2015,30000,Diesel,Japanese
1417,Male,Yes,41,Yes,Marketing,2,Maker,Canada,2016,30000,Diesel,English 
