Release_Date,Title,Overview,Genre
24/08/2022,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.","Animation, Adventure, Comedy, Family"
27/07/2022,DC League of Super-Pets,"When Superman and the rest of the Justice League are kidnapped, Krypto the Super-Dog must convince a rag-tag shelter pack - Ace the hound, PB the potbellied pig, Merton the turtle and Chip the squirrel - to master their own newfound powers and help him rescue the superheroes.","Action, Animation, Comedy, Family"
20/07/2022,Nope,"Residents in a lonely gulch of inland California bear witness to an uncanny, chilling discovery.","Horror, Mystery, Science Fiction, Thriller"
14/07/2022,Bullet Train,Five assassins aboard a fast moving bullet train find out their missions have something in common.,"Action, Thriller"
07/07/2022,Thor: Love and Thunder,The fourth installment of the Marvel Studios' Thor movie series.,"Action, Adventure, Fantasy"
22/06/2022,Elvis,"The life story of Elvis Presley as seen through the complicated relationship with his enigmatic manager, Colonel Tom Parker.","Drama, Music"
16/06/2022,Minions: The Rise of Gru,"A fanboy of a supervillain supergroup known as the Vicious 6, Gru hatches a plan to become evil enough to join them, with the backup of his followers, the Minions.","Family, Animation, Action, Adventure, Comedy"
16/06/2022,Lightyear,The definitive origin story of Buzz Lightyear—the hero who inspired the toy—introducing the legendary Space Ranger who would win generations of fans.,"Animation, Science Fiction, Adventure, Action, Drama"
08/06/2022,Jurassic World Dominion,"Four years after Isla Nublar was destroyed, dinosaurs now live—and hunt—alongside humans all over the world. This fragile balance will reshape the future and determine, once and for all, whether human beings are to remain the apex predators on a planet they now share with history’s most fearsome creatures.","Adventure, Action, Science Fiction, Thriller"
25/05/2022,Top Gun: Maverick,"After more than thirty years of service as one of the Navy's top aviators, Pete Mitchell is where he belongs, pushing the envelope as a courageous test pilot and dodging the advancement in rank that would ground him.","Action, Drama"
04/05/2022,Doctor Strange in the Multiverse of Madness,"Doctor Strange, with the help of mystical allies both old and new, traverses the mind-bending and dangerous alternate realities of the Multiverse to confront a mysterious new adversary.","Fantasy, Action, Adventure"
03/05/2022,Constantine: The House of Mystery,"John Constantine wakes up in the eerie House of Mystery with no recollection of how he got there. Fortunately, Zatanna and his friends are all there. Unfortunately, they have a bad habit of turning into demons and ripping him to shreds, over and over again!","Fantasy, Animation, Horror, Action"
22/04/2022,Dragon Ball Super: Super Hero,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.","Animation, Science Fiction, Action"
13/04/2022,Ladybug & Cat Noir: Awakening,Parisian teenagers Marinette Dupain-Chang and Adrien Agreste become vigilante heroes Ladybug and Cat Noir.,"Action, Animation, Adventure, Fantasy, Music"
07/04/2022,Fantastic Beasts: The Secrets of Dumbledore,"In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, though he's unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.","Fantasy, Adventure"
31/03/2022,The Northman,A young Viking prince embarks on a quest to avenge his father’s murder.,"Action, Adventure, Drama"
30/03/2022,Sonic the Hedgehog 2,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.","Action, Science Fiction, Comedy, Family"
30/03/2022,Morbius,"Dangerously ill with a rare blood disorder, and determined to save others suffering his same fate, Dr. Michael Morbius attempts a desperate gamble. What at first appears to be a radical success soon reveals itself to be a remedy potentially worse than the disease.","Action, Science Fiction, Fantasy"
25/03/2022,Infinite Storm,One woman's journey for self-discovery and turns into a harrowing tale of survival.,Drama
24/03/2022,The Lost City,"Follows a reclusive romance novelist who was sure nothing could be worse than getting stuck on a book tour with her cover model, until a kidnapping attempt sweeps them both into a cutthroat jungle adventure, proving life can be so much stranger, and more romantic, than any of her paperback fictions.","Comedy, Action, Romance, Adventure"
24/03/2022,Everything Everywhere All at Once,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save the world by exploring other universes connecting with the lives she could have led. Unfortunately, this sweeps her up into an even bigger adventure when she finds herself lost in the infinite worlds of the multiverse.","Action, Comedy, Science Fiction"
18/03/2022,Deep Water,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.","Drama, Romance, Thriller"
18/03/2022,Umma,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother.","Horror, Thriller, Mystery"
17/03/2022,The Bad Guys,"When the infamous Bad Guys are finally caught after years of countless heists and being the world’s most-wanted villains, Mr. Wolf brokers a deal to save them all from prison.","Animation, Comedy, Action, Family, Crime"
17/03/2022,X,"In 1979, a group of young filmmakers set out to make an adult film in a secluded farmhouse in rural Texas. Their reclusive, elderly hosts take a special interest in their young guests and, as night falls in, the couple’s leering interest takes a violent turn.","Horror, Thriller, Mystery"
17/03/2022,Panama,"An ex-marine is hired by a defense contractor to travel to Panama to complete an arms deal. In the process he becomes involved with the U.S. invasion of Panama, and learns an important lesson about the true nature of political power.","Action, Thriller"
16/03/2022,Ambulance,"Decorated veteran Will Sharp, desperate for money to cover his wife's medical bills, asks for help from his adoptive brother Danny. A charismatic career criminal, Danny instead offers him a score: the biggest bank heist in Los Angeles history: $32 million.","Action, Crime, Thriller"
13/03/2022,Apollo 10½:  A Space Age Childhood,"A man narrates stories of his life as a 10-year-old boy in 1969 Houston, weaving tales of nostalgia with a fantastical account of a journey to the moon.","Adventure, Animation, Comedy"
12/03/2022,BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING,"‘BTS PERMISSION TO DANCE ON STAGE - SEOUL’, a performance for BTS and ARMY to dance together live.  Join us as BTS and ARMY become one once again with music and dance in this unmissable live concert experience broadcast from Seoul to cinemas around the world!  ‘BTS PERMISSION TO DANCE ON STAGE’ is the latest world tour series headlined by 21st century pop icons BTS, featuring powerful performances and the greatest hit songs from throughout their incredible career. The earlier Los Angeles shows were seen by approximately 813,000 people across the four sold-out shows, making them one of the most successful shows in 2021.",Music
12/03/2022,Tony Hawk: Until the Wheels Fall Off,"A wide-ranging, definitive look at Hawk’s life and iconic career, and his relationship with the sport with which he’s been synonymous for decades, featuring unprecedented access, never-before-seen footage, and interviews with Hawk and prominent figures in the sport including Stacy Peralta, Rodney Mullen, Mike McGill, Lance Mountain, Steve Caballero, Neil Blender, Andy MacDonald, Duane Peters, Sean Mortimer, and Christian Hosoi.",Documentary
11/03/2022,Malnazidos,"Months after bloody combats leave behind thousands of dead in the trenches. Jan Lozano, Captain of the Fifth Brigade has fallen prisoner by an opponent's platoon along with a young driver while carrying out a mission that has been entrusted to him. The possibility of dying executed will soon be overtaken when a new unknown enemy arises. Both rival sides must unite and set their mutual hate aside in order to survive.","Comedy, Horror, War"
11/03/2022,Outsiders,"When a young Black man’s girlfriend mysteriously disappears, he’s forced to go on the run, staying one step ahead of suspicious police to clear his name and to find out if otherworldly forces are to blame.","Thriller, Science Fiction, Mystery"
11/03/2022,Ash & Dust,The film is set in a small town where two modest couples find themselves caught up in a game of life & death with a vicious gang after the discovery of a mysterious box buried long ago.,"Crime, Thriller"
11/03/2022,Crows Are White,"For over a thousand years, a secretive Buddhist sect has lived on an isolated monastery in Japan performing acts of extreme physical endurance in their pursuit of enlightenment. A filmmaker, struggling to reconcile his desires with his faith, sets off to the strict monastery in search of answers. When he arrives, his presence is not welcomed and the only monk who will speak with him is an outcast who prefers ice cream and Slayer to meditation. Together they forge an unlikely friendship that leads them to higher truths and occasionally, a little trouble. Shot over five years on three continents, Crows are White is an exploration of truth, faith and love, from the top of a mountain to the bottom of a sundae.",Documentary
11/03/2022,Offseason,"Upon receiving a mysterious letter that her mother's grave has been vandalized, Marie travels to the desolate island town where she's buried. Just as she arrives, the island closes for the season, leaving Marie trapped in a nightmare.","Horror, Mystery"
11/03/2022,All My Friends Hate Me,"Genuine but increasingly insecure Pete is cautiously excited about reuniting with his college crew for a birthday weekend of memories, partying and earnest reconnection at a picturesque English manor. Best laid plans, dear audience.","Horror, Comedy"
11/03/2022,Sideshow,"When two inept criminals break into the home of a washed-up psychic in search of hidden loot, they get a lot more than they bargained for.","Comedy, Crime"
11/03/2022,The Kashmir Files,The obscure saga and imprints of the painful exodus of Kashmiri hindus.,"Thriller, History"
11/03/2022,I Love America,"A single woman who decides to take a chance on love again by catapulting her life from Paris to Los Angeles. From awkward dates to touching surprise encounters, she understands the journey to love is a journey towards herself.","Comedy, Romance"
10/03/2022,Turning Red,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.","Animation, Family, Comedy, Fantasy"
10/03/2022,The Contractor,"After being involuntarily discharged from the U.S. Special Forces, James Harper decides to support his family by joining a private contracting organization alongside his best friend and under the command of a fellow veteran. Overseas on a covert mission, Harper must evade those trying to kill him while making his way back home.","Action, Thriller"
10/03/2022,Facing Monsters,Kerby Brown made headlines in 2008 when he surfed a 40-foot wave: The ride of a lifetime. He's been chasing that thrill ever since. Facing Monsters follows Kerby and his brother Cortney into the furious power of the ocean,Documentary
10/03/2022,Corazón ardiente,"An invincible, but unknown force ardently aspires to save the world - To achieve it, would it be enough to announce it?","Drama, Documentary"
10/03/2022,Radhe Shyam,"Vikramaditya, a world-renowned palmist, believes love does not exist in his stars, until he meets Prerana. But when destiny tries to pull them apart, will love prevail?","Drama, Romance"
10/03/2022,A Ballad of Saints and Sinners,"A tale of love and cults. Elijah must rescue his girlfriend from the cult she finds herself trapped in, or else he may succumb to it himself.","Horror, Romance, Thriller"
10/03/2022,The Girl From the Other Side,"Once upon a time, in a far, faraway place, there were two lands. The world was divided into an inner land and an outer land. People feared the outer land, inhabited by eerie beings, the carriers of curse.  One day, on the border to the inner land inhabited by humans, one such being finds a girl on heaps of abandoned dead bodies.The girl says her name is Shiva and shows affection to the ""being"" who found her, calling him ""Teacher.""  This is a story of two people—one human, one inhuman—who linger in the hazy twilight that separates night from day.","Animation, Drama, Mystery, Fantasy"
10/03/2022,Iblis Dalam Kandungan,"After 15 years of marriage and adopting two brothers Alani and Vito, Amelia became pregnant. In order to take care of his wife, who also suffers from high blood pressure, Verdi the husband, moved from Jakarta to a plantation company at the foot of Mount Salak.  Problems arise when the house they live in appears by the spirit of a woman who in the past lost a baby in her womb due to a mystical event. Now the spirit has come, trying to penetrate into Amelia's body to judge the baby in her womb. Vito and Alani, who realize the danger, try to protect their mother even though they have to face a life-threatening threat.  But as it turned out, the woman's spirit was the only danger he faced. There are other, more sinister forces that have never been thought of before.",Horror
10/03/2022,The Darker the Lake,"When strange, supernatural murders suddenly become the talk a peaceful town, two detectives must solve a deadly game, but will the myth of this game reveal secrets too close to home.","Crime, Thriller, Mystery"
10/03/2022,Madu Murni,Plot unknown.,"Comedy, Drama"
10/03/2022,The Treasures of Crimea,"It was a fateful coincidence that in 2014, just when the Allard Pierson Museum in Amsterdam was staging an exhibition of Crimean artworks, Russia annexed the region. So now the question arises of who should the artworks be returned to? To the museums in Crimea who had been so kind as to loan them out? Or to Ukraine, perhaps, the country Crimea belonged to before the annexation? What should the museum’s director Wim Hupperetz do?",Documentary
10/03/2022,Mengejar Surga,"Atiqah, a woman who grew up without a father when she grew up decided to fly to Holland and look for her father. In the course of his search, he meets an important figure in his life.","Drama, Romance"
10/03/2022,Miss Viborg,"In a small Danish town, we meet two generations of women. 61-year-old Solvej and the 17-year-old Kate. Their meeting kickstarts an unlikely friendship, as the wounds of the past are revealed and the seeds of hope are sown.",Drama
10/03/2022,Once Upon a Time in Serbia,"This is a warm human story set between the two world wars in Leskovac, where a real miracle happens with an unusual set of circumstances and builds the history of that small place where great people live...","Comedy, Drama"
10/03/2022,Before I Met You,"Gadis, a girl in the midst of the bustle of the bustling city of Jakarta, she is faced with a choice of her future, which is her soul mate. Should the girl choose Bara or Rama as her heart's choice?",Drama
10/03/2022,Who Said Detox?,"Connie, a young lawyer and supporter of her family, will be involved in a bet to win an account at the law firm where she works, otherwise she will be fired. This bet will lead her to unintentionally expose her own life on social networks in a way she never imagined, leading her to hilarious, funny and even embarrassing situations. Will Connie win the bet?","Comedy, Drama, Family"
09/03/2022,The Adam Project,"After accidentally crash-landing in 2022, time-traveling fighter pilot Adam Reed teams up with his 12-year-old self on a mission to save the future.","Science Fiction, Adventure, Comedy"
09/03/2022,In Our Prime,"Ji-woo, an outcast in a prestigious private high school, does not fit in due to different social backgrounds than his well-to-do classmates. One day, he meets Hak-sung, the school’s security guard who is actually a mathematical genius defected from North Korea, now living with his past shut away. Ji-woo asks Hak-sung to teach him math, and although reluctant at first, Hak-sung eventually agrees to. Finding each other in their most difficult times, Ji-woo and Hak-sung open up to one another during their special math lessons, but their friendship is at risk when Ji-woo is framed for an incident in school, and Hak-sung is faced with people prying on his past.",Drama
09/03/2022,Kung-Fu Zohra,"Zohra is convinced that separating from her husband Omar would break her little girl’s heart and so determines not to leave him despite the violence he metes out. Then she meets Chang Sue, the caretaker of the gym where she works to make ends meet. When she learns that he’s a kung fu master, Zohra asks him to teach her some self-defence basics…","Drama, Action"
09/03/2022,Murder Party,"Jeanne, a brilliant architect has a new assignment: renovate the sumptuous Daguerre mansion owned by an eccentric family, head of a Board Game empire. When the landlord and patriarch Cesar is found dead, everyone present becomes a suspect. Suddenly Jeanne’s mission turns intoa life-size investigation to expose the murderer...","Comedy, Crime"
09/03/2022,Goliath,Patrick is a tenacious lawyer specializing in environmental law. France is a schoolteacher who becomes an activist after her husband develops cancer from exposure to a pesticide. Mathias is an ambitious lobbyist working for an international chemical corporation. The paths of these characters collide as the lives of thousands are affected by a tragic act that sparks a powerful movement while the corporation fights to prevent the truth from being revealed.,Drama
09/03/2022,Fading Petals,"The paths of two solitary figures cross when a Young Woman (Charlotte Reidie) arrives to aid a sickly Old Woman (Melanie Revill). After a hostile first encounter and despite misgivings from both, the two slowly open up to one another. But their affinity is short lived when events culminate as unforgiving words are spoken and buried memories resurface. The Old Woman struggles to accept the absence of the Young Woman and is haunted by her memory. A series of truths manifest themselves as the pair learn that they are much more alike than they think.",Drama
09/03/2022,Permis de construire,"When his father passes away, a dentist in Paris inherits a plot and the will to build a house on it. The situation becomes tricky when he learns the plot is located in Corsica.",Comedy
09/03/2022,Besties,"The life of Nedjma, a teenager who lives in Paris with her mother and her little sister, is turned upside down the summer she meets Zina.","Drama, Romance"
09/03/2022,La campagne de France,"Preuilly-sur-Claise, a small village in the south of Indre-et-Loire, March 2020. As in each of the 36,000 municipalities in France, the Preuillaciens will elect their new mayor. There are three on the starting line: Jean-Paul, the veteran, Patrick the outsider and Mathieu, the last minute guest. Fantastic and intrepid, this one intends to thwart all the forecasts. Especially since there is Guy on her list. An old politician.",Documentary
09/03/2022,My Night,"Marion faces Paris at night with a feeling of vulnerability linked to the loss of her sister. She crosses paths with Alex. Their encounter will evolve at the rhythm of their wanderings through the city, like a journey through the night.","Drama, Romance"
09/03/2022,Soy Libre,"Arnaud, he's my little brother. One day I realized that he was already big. He was born where one does not choose, and seeks what should have been. Free.",Documentary
09/03/2022,Theo and the Metamorphosis,"Theo, a 27-year-old young man with Down’s syndrome, lives with his father in an isolated house in the middle of a forest. They live in harmony with nature and animals, but one day the father goes away, leaving his son alone with his visions… Theo then begins his odyssey in which he reinvents himself, opens up to the world, experiences freedom, and tries to discover the nature of things and of beings.",Drama
09/03/2022,A Guide to Love and Fighting Capitalism,"Monique and Michel Pinçon-Charlot are a couple of French sociologists, famous for their work on the uber-rich. They have been in love for more than fifty years, and they enjoy a comfortable retirement in their lovely home in the Paris suburbs. They could live a quiet life, but how do you get some rest when there is capitalism to fight against?",Documentary
09/03/2022,My Mother the State,"Una was the first person who used the change in Latvian Law to find her sister, lost in the process of adoption. Breaking through bureaucratic jungle she suddenly discovers that she has not only one but four sisters, all adopted and scattered around the world. The search for them becomes her mission that takes her to Europe, Russia and the US.  She translates her call in 32 languages and posts it across the world. The almost impossible task is helped by media, friends, courage and persistence.",Documentary
09/03/2022,That Which Does Not Kill,"Ada is 19. She agrees to have dinner at the home of a boy she knows. It all happens very quickly, she does not defend herself. It is in 2013, after a screening of her first film, that Alexe Poukine meets her: a woman of her age who shares with her something that happened nine years before and that she does not know what to do with.",Documentary
08/03/2022,The Girl on the Mountain,"When a reclusive backwoodsman finds a mute little girl wandering alone in the forest, he must protect her from the evil forces determined to end her life.","Thriller, Drama"
08/03/2022,Taylor Tomlinson: Look at You,"Breakups. Therapy. Bangs. Taylor's gone through some stuff since her quarter-life crisis, and she spins her mental health journey into insightful comedy.",Comedy
08/03/2022,Last Man,"A vision of the history and future of mankind, inspired by Nietzsche's ""Thus Spoke Zarathustra"".","Drama, Science Fiction"
08/03/2022,Becoming A Black Woman,A documentary about black women denouncing racism in Switzerland.,Documentary
08/03/2022,We Are Like Waves,"An intimate look into how surfing changes Sanu’s life, documenting the struggles and breakthroughs of becoming one of the first female Sri Lankan surfers.",Documentary
07/03/2022,The Fourth Musketeer,"At the behest of his father, young d'Artagnan travels from rural Gascony to Paris, where he becomes embroiled in a devious plot between the King's Musketeers and the Guardsmen of Cardinal Richelieu.","Action, Adventure"
07/03/2022,Goyo: En Letra de Otro,"The first female led En Letra de Otro music special to cover personal favorites transports us to the vibrant landscapes of her native Condoto in Chocó, Colombia. In between the stunning and elaborate music numbers, Goyo offers a glimpse of her history and influences, including the origin of her nickname, her father’s love of salsa, her rise to international recognition with the band ChocQuibTown, and her obsession with Shakira.",Music
06/03/2022,AEW Revolution,AEW Revolution is a professional wrestling pay-per-view (PPV) event produced by All Elite Wrestling (AEW). The 2022 event is being held in Orlando Florida at the Addition Financial Arena.,"Action, Drama"
06/03/2022,Untitled Digimon 02 Reboot Movie,"Now, the gate to adventure opens, and we'll finally met the first human in the world to partner with a Digimon. The first preview brings Davis (Daisuke in the original japanese), the protagonist of ""Digimon Adventure 02"" series, narrating when he and his Digimon partner V-mon are cooking dinner, when a gigantic DigiEgg appears in the sky. That's when they met the first human to partner with a Digimon.  This new movie is about 02 and is supposed to be a sequel to the Digimon Adventure anime reboot of 2020, and a prequel to a potential new Digimon 02 anime reboot.","Adventure, Animation, Fantasy"
05/03/2022,Stolen by Their Father,A woman finds herself fighting for her daughters when her ex kidnaps them.,"Drama, TV Movie"
04/03/2022,The Invisible Thread,The teenage son of two fathers makes a documentary film about his parents but is surprised when a real-life plot twist occurs in his family.,"Comedy, Drama"
04/03/2022,A Day to Die,"A disgraced parole officer is indebted to a local gang leader and forced to pull off a series of dangerous drug heists within twelve hours in order to pay the $2 million dollars he owes, rescue his kidnapped pregnant wife, and settle a score with the city's corrupt police chief, who is working with the gang leader and double-crossed him years ago.","Action, Thriller, Crime"
04/03/2022,Nightride,"In this single shot thriller, we're in the driver's seat with small-time dealer Budge as he tries to pull one last deal with cash borrowed from a dangerous loan shark. When the handover goes catastrophically wrong, Budge finds himself in a race against time to find his missing product and get a new buyer before the loan shark tracks him down.","Thriller, Drama"
04/03/2022,Bergen,"Bergen, a valuable Turkish arabesque singer, fights to stay afloat despite all the difficulties in her life.",Drama
04/03/2022,Asking For It,"After small town waitress Joey is sexually assaulted after a date with her old friend Mike, she befriends mysterious stranger Regina. Regina introducers her to The Cherry Bombers, an all femme gang including Beatrice, Lily, Sal, Jett, Angie, and Fala. All suffering from past traumas, together they fight a misogynistic society by targeting violent frat boys, a corrupt police force of human traffickers led by Sheriff Morel, and the dangerous alt-right group MFM (Men’s First Movement) headed by Mark Vanderhill. As Joey is drawn further into their chaotic world, Sal’s old flame, Logan County Sheriff Vernon, investigates MFM, leading to a thrilling showdown.","Action, Thriller, Drama"
03/03/2022,The Weekend Away,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.","Thriller, Mystery"
03/03/2022,Surviving Paradise: A Family Tale,"As the Kalahari Desert faces a worsening dry season, prides, packs and herds of all kinds must rely on the power of family to survive.",Documentary
03/03/2022,Fresh,"Frustrated by scrolling dating apps only to end up on lame, tedious dates, Noa takes a chance by giving her number to the awkwardly charming Steve after a produce-section meet-cute at the grocery store.","Horror, Thriller"
03/03/2022,Whindersson Nunes: É de Mim Mesmo,Comedian Whindersson Nunes brings his quirky impersonations and streetwise takes on different cultures to the historic stage of Teatro Amazonas.,Comedy
01/03/2022,The Batman,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","Crime, Mystery, Thriller"
01/03/2022,After the Pandemic,"Set in a post-apocalyptic world where a global airborne pandemic has wiped out 90% of the Earth's population and only the young and immune have endured as scavengers. For Ellie and Quinn, the daily challenges to stay alive are compounded when they become hunted by the merciless Stalkers.","Science Fiction, Action"
25/02/2022,No Exit,"Stranded at a rest stop in the mountains during a blizzard, a recovering addict discovers a kidnapped child hidden in a car belonging to one of the people inside the building which sets her on a terrifying struggle to identify who among them is the kidnapper.",Thriller
25/02/2022,Restless,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.","Action, Thriller, Crime"
25/02/2022,Hotel Transylvania: Transformania,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.","Animation, Family, Fantasy, Comedy, Adventure"
25/02/2022,Desperate Riders,"After Kansas Red rescues young Billy from a card-game shootout, the boy asks Red for help protecting his family from the outlaw Thorn, who’s just kidnapped Billy’s mother, Carol. As Red and Billy ride off to rescue Carol, they run into beautiful, tough-as-nails Leslie, who’s managed to escape Thorn’s men. The three race to stop Thorn’s wedding to Carol with guns a-blazing - but does she want to be rescued?","Western, Action"
25/02/2022,Tyler Perry's A Madea Homecoming,Madea's back - hallelujer! And she's not putting up with any nonsense as family drama erupts at her great-grandson's college graduation celebration.,Comedy
25/02/2022,The Last Mark,"After a young woman witnesses a mob hit, a seasoned assassin and his psychotic partner must track her down before she turns them in, but she proves to be the hardest mark to kill.","Action, Thriller"
25/02/2022,Big Gold Brick,"Recounts the story of fledgling writer Samuel Liston and his experiences with Floyd Deveraux, the enigmatic, middle-aged father of two who enlists Samuel to write his biography.","Comedy, Fantasy"
25/02/2022,Gasoline Alley,"A man implicated in the triple homicide of three Hollywood starlets begins his own investigation. Needing assistance, he enlists the two detectives on his tail in order to expose a conspiracy more explosive than any of them imagined.","Thriller, Crime, Mystery"
24/02/2022,Gangubai Kathiawadi,Young Ganga is sold to a brothel in Mumbai in the garb of becoming an actor by her lover in the 1950s. She goes on to become the feared Gangubai - the Matriarch of Kamathipura - the champion of female emancipation and advocate of rights for sex workers in a chauvinist and narrow-minded society.,"Crime, Drama"
24/02/2022,Studio 666,"Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.","Horror, Comedy, Music"
23/02/2022,UFO,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.","Drama, Romance"
23/02/2022,11M,"Survivors and insiders recount March 11, 2004's terrorist attack on Madrid, including the political crisis it ignited and the hunt for the perpetrators.",Documentary
23/02/2022,Three Months,"Caleb, a gay teenager from Miami, is exposed to HIV the weekend of his high school graduation. Unsure of his future, he starts a new relationship with someone from his support group as he waits the three months it takes to get tested.","Drama, Comedy"
20/02/2022,Aurora Teagarden Mysteries: Haunted By Murder,"A murder investigation is reignited in a house that is considered haunted by the Lawrenceton locals and where years ago Aurora and Sally, as teenagers, discovered a body.","TV Movie, Mystery"
19/02/2022,The Wedding Veil Legacy,"Trаcy meets Nick in the third instаllment of the trilogy, аnd he helps her sаve аn originаl drаft of The New Colossus in exchаnge for her helping him run his restаurаnt. Trаcy begins to feel uneаsy аs they get closer.","TV Movie, Comedy, Romance"
18/02/2022,Pursuit,"Detective Breslin crosses paths with Calloway, a ruthless hacker desperate to find his wife, who has been kidnapped by a drug cartel. When Calloway escapes police custody, Breslin joins forces with a no-nonsense female cop to reclaim his prisoner. But is Calloway’s crime-boss father somehow involved in this explosive situation?","Action, Crime, Thriller"
18/02/2022,Texas Chainsaw Massacre,"In this sequel, influencers looking to breathe new life into a Texas ghost town encounter Leatherface, an infamous killer who wears a mask of human skin.",Horror
18/02/2022,The Wonderful Winter of Mickey Mouse,The wonder of the winter season takes Mickey Mouse and his friends on a journey through three magical stories.,"Animation, Comedy"
18/02/2022,The Ledge,"A rock climbing adventure between two friends turns into a terrifying nightmare. After Kelly captures the murder of her best friend on camera, she becomes the next target of a tight-knit group of friends who will stop at nothing to destroy the evidence and anyone in their way. Desperate for her safety, she begins a treacherous climb up a mountain cliff and her survival instincts are put to the test when she becomes trapped with the killers just 20 feet away.",Thriller
18/02/2022,Ted K,"The True Story of Ted Kaczynski, the infamous Unabomber, who wants to destroy modern technology to create a world for himself in the Montana wilderness.","Drama, Crime, Thriller"
17/02/2022,Fistful of Vengeance,A revenge mission becomes a fight to save the world from an ancient threat when superpowered assassin Kai tracks a killer to Bangkok.,"Action, Crime, Fantasy"
